players,losses,wins
Djokovic N.,26,201
Federer R.,29,193
Nadal R.,21,162
Murray A.,32,150
Ferrer D.,36,114
Berdych T.,37,101
Wawrinka S.,35,99
Tsonga J.W.,31,99
Gasquet R.,31,77
Cilic M.,32,77
Verdasco F.,37,75
Monfils G.,28,71
Simon G.,34,66
Del Potro J.M.,24,63
Robredo T.,32,62
Roddick A.,22,61
Youzhny M.,34,61
Lopez F.,37,56
Almagro N.,33,55
Kohlschreiber P.,36,53
Nishikori K.,26,50
Davydenko N.,27,49
Isner J.,31,48
Raonic M.,20,48
Hewitt L.,33,47
Melzer J.,33,45
Haas T.,25,44
Tipsarevic J.,30,44
Soderling R.,17,42
Anderson K.,28,42
Seppi A.,37,41
Baghdatis M.,33,40
Chardy J.,31,40
Fish M.,22,39
Gonzalez F.,17,38
Troicki V.,28,38
Querrey S.,35,34
Garcia-Lopez G.,37,33
Stepanek R.,34,33
Tomic B.,25,33
Granollers M.,33,31
Benneteau J.,33,31
Fognini F.,33,30
Nieminen J.,34,29
Blake J.,23,28
Karlovic I.,32,28
Mathieu P.H.,29,28
Istomin D.,30,28
Gulbis E.,34,28
Dimitrov G.,22,28
Ferrero J.C.,19,27
Dolgopolov O.,23,26
Mayer L.,26,26
Monaco J.,32,25
Bautista R.,14,25
Nalbandian D.,16,24
Mayer F.,24,24
Andreev I.,23,24
Llodra M.,31,24
Muller G.,22,22
Bolelli S.,28,22
Ljubicic I.,19,22
Chela J.I.,19,21
Bellucci T.,28,21
Janowicz J.,15,21
Tursunov D.,30,20
Hanescu V.,27,20
Montanes A.,31,20
Paire B.,21,20
Lu Y.H.,34,19
Sela D.,31,19
Kubot L.,20,19
Kyrgios N.,11,19
Stakhovsky S.,29,18
Goffin D.,15,18
Mahut N.,30,17
Serra F.,26,17
Safin M.,12,17
Falla A.,29,16
Malisse X.,22,16
Mannarino A.,24,16
Young D.,26,15
Petzschner P.,20,15
Rosol L.,19,15
Gabashvili T.,27,15
Sock J.,13,15
Clement A.,19,14
Haase R.,28,14
Dodig I.,21,14
Becker B.,31,14
Roger-Vasselin E.,24,14
Andujar P.,27,14
Klizan M.,17,14
Ginepri R.,18,13
Giraldo S.,28,13
Kukushkin M.,20,13
Kavcic B.,19,12
Kuznetsov An.,11,12
Ancic M.,4,11
Gicquel M.,21,11
Thiem D.,9,11
Schuettler R.,17,10
Kamke T.,21,10
Darcis S.,23,10
Sousa J.,13,10
Pospisil V.,15,10
Johnson S.,15,10
Santoro F.,13,9
Levine J.,14,9
Berrer M.,22,9
Koubek S.,10,9
Canas G.,8,9
Lacko L.,26,9
Robert S.,15,9
Berankis R.,13,9
Cuevas P.,20,9
Moya C.,9,9
Bjorkman J.,6,8
Grosjean S.,8,8
Beck A.,15,8
Berlocq C.,25,8
Gimeno-Traver D.,27,8
Zemlja G.,11,8
Lee H.T.,8,7
Cipolla F.,12,7
Kunitsyn I.,20,7
Ilhan M.,11,7
Rufin G.,11,7
Donskoy E.,8,7
Smyczek T.,12,7
Brands D.,16,7
De Schepper K.,12,7
Lajovic D.,8,7
Groth S.,9,7
Haider-Maurer A.,15,7
Kudla D.,11,7
Kiefer N.,9,7
Lapentti N.,13,6
Rochus O.,22,6
Calleri A.,11,6
Korolev E.,15,6
Dent T.,7,6
Schwank E.,11,6
Bogomolov A.,11,6
Harrison R.,19,6
Baker B.,6,6
Starace P.,23,6
Acasuso J.,10,6
Devilder N.,10,6
De Bakker T.,12,6
Vesely J.,11,6
Delic A.,7,5
Capdeville P.,9,5
Dancevic F.,18,5
Vliegen K.,14,5
Odesnik W.,14,5
Marchenko I.,13,5
Chiudinelli M.,7,5
Hernych J.,12,5
Ebden M.,15,5
Devvarman S.,14,5
Ram R.,11,5
Dzumhur D.,7,5
Jaziri M.,10,5
Vassallo-Arguello M.,13,5
Gonzalez M.,14,5
Reynolds B.,13,5
Reister J.,9,5
Brown D.,12,5
Arthurs W.,2,4
Spadea V.,10,4
Johansson T.,8,4
Zverev M.,16,4
Hernandez O.,14,4
Russell M.,24,4
Golubev A.,20,4
Hajek J.,14,4
Riba P.,11,4
Sweeting R.,12,4
Duckworth J.,13,4
Soeda G.,16,4
Przysiezny M.,11,4
Kokkinakis T.,5,4
Delbonis F.,10,4
Ouanna J.,5,4
Zeballos H.,13,4
Sijsling I.,14,4
Coric B.,6,4
Carreno-Busta P.,10,4
Wang J.,6,4
Beck K.,11,4
Udomchoke D.,6,3
Hrbaty D.,8,3
Mirnyi M.,4,3
Bozoljac I.,4,3
Karanusic R.,6,3
Veic A.,2,3
Gil F.,14,3
Ito T.,11,3
Mello R.,9,3
Matosevic M.,18,3
Gonzalez A.,6,3
Herbert P.H.,4,3
Millman J.,5,3
Volandri F.,20,3
Junqueira D.,5,3
Kendrick R.,13,3
Minar I.,8,3
Schwartzman D.,7,3
Struff J.L.,10,3
Estrella Burgos V.,8,3
Bemelmans R.,7,3
Ward J.,10,3
Warburg S.,3,2
Luczak P.,11,2
Guccione C.,9,2
Rola B.,5,2
Bachinger M.,8,2
Lorenzi P.,19,2
Krajicek A.,3,2
Ramos-Vinolas A.,6,2
Pella G.,7,2
Eschauer W.,4,2
Montcourt M.,3,2
Patience O.,5,2
Massu N.,10,2
Navarro-Pastor I.,8,2
Brzezicki J.P.,3,2
Vanek J.,6,2
Horna L.,8,2
Machado R.,10,2
Crivoi V.,4,2
Rochus C.,8,2
Ramirez-Hidalgo R.,13,2
Ramos A.,12,2
Stebe C.M.,6,2
Nedovyesov A.,6,2
Zopp J.,9,2
de Voest R.,7,2
Pavel A.,7,2
Henman T.,3,2
Alves T.,5,2
Greul S.,10,2
Witten J.,3,2
Ball C.,9,2
Koellerer D.,5,2
Phau B.,14,2
Dutra Silva R.,5,2
Klahn B.,7,2
Evans D.,5,2
Gojowczyk P.,6,2
Bedene A.,11,2
Stadler S.,2,2
Basilashvili N.,4,2
Fleishman Z.,2,1
Dlouhy L.,4,1
Smeets R.,4,1
Kuznetsov A.,4,1
Jones A.,3,1
Gremelmayr D.,9,1
Dabul B.,7,1
Klein B.,3,1
De Chaunac S.,1,1
Sorensen L.,2,1
Sergeyev I.,1,1
Weintraub A.,1,1
Millot V.,4,1
Copil M.,1,1
Basic M.,1,1
Olivo R.,1,1
Rubin N.,2,1
Halys Q.,2,1
Jasika O.,1,1
Trungelliti M.,1,1
Ascione T.,5,1
Economidis K.,2,1
Zabaleta M.,4,1
Gaudio G.,3,1
Ulihrach B.,2,1
Recouderc L.,4,1
Pless K.,4,1
Hartfield D.,4,1
Lopez-Jaen M.A.,1,1
Decoud S.,1,1
Daniel M.,10,1
Marrero D.,1,1
Schukin Y.,1,1
Teixeira M.,2,1
Schoorel T.,1,1
Ungur A.,6,1
Pouille L.,8,1
Bagnis F.,3,1
Michon A.,1,1
Edmund K.,6,1
Arnaboldi A.,2,1
De Heart R.,1,1
Kim K.,5,1
Polansky P.,5,1
Bubka S.,1,1
Lisnard J.R.,3,1
Dutra Da Silva R.,1,1
Novikov D.,1,1
Kudryavtsev A.,3,1
Krajinovic F.,7,1
Nishioka Y.,4,1
Chung H.,3,1
Zib T.,2,1
Qureshi A.,1,1
Wang Y.T.,1,1
Guccione A.,1,1
Galvani S.,3,1
Eaton C.,1,1
Evans B.,3,1
Fischer M.,3,1
Cervantes I.,2,1
Saville L.,4,1
Puetz T.,2,1
Pavic A.,2,1
Broady L.,1,1
Zverev A.,3,1
